alacrity rating,critical rating,mean,stddev
0,4426,315.873,2.67657
20,4406,315.54,2.93099
40,4386,315.273,2.77849
60,4366,315.654,3.10024
80,4346,316.058,2.92701
100,4326,315.859,2.65514
120,4306,316.169,2.93409
140,4286,316.014,2.77159
160,4266,316.351,2.94204
180,4246,304.8,3.78069
200,4226,304.807,3.48557
220,4206,305.112,3.73254
240,4186,305.585,3.41296
260,4166,305.236,3.58036
280,4146,305.583,3.54994
300,4126,305.633,3.70656
320,4106,305.977,3.59324
340,4086,305.851,3.34223
360,4066,306.344,3.52364
380,4046,306.133,3.35117
400,4026,306.206,3.5977
420,4006,306.8,3.3942
440,3986,306.703,3.58441
460,3966,306.694,3.08726
480,3946,307.274,3.27218
500,3926,306.788,2.97721
520,3906,307.36,3.06245
540,3886,307.47,3.37029
560,3866,305.846,3.03528
580,3846,305.979,2.86048
600,3826,306.399,2.85089
620,3806,305.818,2.82757
640,3786,306.421,2.67647
660,3766,306.193,2.78356
680,3746,306.373,2.70526
700,3726,304.795,2.8073
720,3706,305.252,3.01402
740,3686,305.126,2.95161
760,3666,305.246,3.23801
780,3646,305.63,2.89046
800,3626,305.557,2.91479
820,3606,305.607,3.17741
840,3586,306.045,3.2514
860,3566,305.996,2.76253
880,3546,305.706,3.07419
900,3526,305.928,3.05616
920,3506,306.156,2.88744
940,3486,306.298,2.65264
960,3466,306.674,2.97691
980,3446,306.811,2.58838
1000,3426,306.658,3.0167
1020,3406,307.113,2.65939
1040,3386,307.194,2.71773
1060,3366,307.263,2.78101
1080,3346,307.843,2.57138
1100,3326,307.664,2.82596
1120,3306,307.564,2.74292
1140,3286,307.998,2.55842
1160,3266,308.153,2.44721
1180,3246,308.321,2.51706
1200,3226,308.379,2.57955
1220,3206,290.485,2.24009
1240,3186,290.524,2.37048
1260,3166,290.918,2.2763
1280,3146,291.222,2.19478
1300,3126,291.26,2.29049
1320,3106,291.637,2.19316
1340,3086,291.385,2.48458
1360,3066,291.485,2.29645
1380,3046,291.647,2.513
1400,3026,291.462,2.42282
1420,3006,291.858,2.37879
1440,2986,291.699,2.4006
1460,2966,291.977,2.40969
1480,2946,281.916,2.99907
1500,2926,282.059,3.14923
1520,2906,281.908,2.99862
1540,2886,282.328,3.11302
1560,2866,282.33,3.18315
1580,2846,282.495,3.12796
1600,2826,282.987,3.27548
1620,2806,283.161,3.27188
1640,2786,283.451,3.27199
1660,2766,283.286,3.03573
1680,2746,283.447,3.20172
1700,2726,283.415,3.31443
1720,2706,284.06,3.30886
1740,2686,284.88,3.16492
1760,2666,284.278,3.17293
1780,2646,284.755,2.86717
1800,2626,284.981,3.35642
1820,2606,284.561,3.15796
1840,2586,285.524,2.98138
1860,2566,285.455,3.19564
1880,2546,286.253,2.77664
1900,2526,286.018,2.83631
1920,2506,286.356,2.53154
1940,2486,286.334,2.87333
1960,2466,286.405,2.80628
1980,2446,286.518,2.84616
2000,2426,286.86,2.78624
2020,2406,287.219,2.55877
2040,2386,287.232,2.38783
2060,2366,287.479,2.53753
2080,2346,285.488,2.44063
2100,2326,285.621,2.41527
2120,2306,285.82,2.22498
2140,2286,285.287,2.5668
2160,2266,285.725,2.31451
2180,2246,286.084,2.50502
2200,2226,286.293,2.55413
2220,2206,286.389,2.3124
2240,2186,286.437,2.64518
2260,2166,286.762,2.25153
2280,2146,286.735,2.51073
2300,2126,287.137,2.33144
2320,2106,287.409,2.31399
2340,2086,287.474,2.36882
2360,2066,287.704,2.43479
2380,2046,287.889,2.26215
2400,2026,288.063,2.28359
2420,2006,288.19,2.2659
2440,1986,288.165,2.32813
2460,1966,288.148,2.22301
2480,1946,288.163,2.39868
2500,1926,288.636,2.38389
2520,1906,288.799,2.08483
2540,1886,288.989,2.27916
2560,1866,289.263,2.16432
2580,1846,289.369,2.10656
2600,1826,289.509,1.87972
2620,1806,289.614,2.12084
2640,1786,289.96,2.0786
2660,1766,289.698,1.91484
2680,1746,290.385,2.04722
2700,1726,290.158,2.29418
2720,1706,290.41,1.92084
2740,1686,290.956,2.01267
2760,1666,290.843,1.83962
2780,1646,290.922,2.3387
2800,1626,291.394,2.2118
2820,1606,291.108,2.07046
2840,1586,291.275,2.18068
2860,1566,291.533,1.86409
2880,1546,291.91,2.10524
2900,1526,292.041,2.32959
2920,1506,292.162,2.19513
2940,1486,292.455,2.20035
2960,1466,292.609,2.31621
2980,1446,292.657,2.15602
3000,1426,292.978,2.44406
3020,1406,293.36,2.61707
3040,1386,293.208,2.51479
3060,1366,293.716,2.69247
3080,1346,294.045,3.00196
3100,1326,294.109,2.84117
3120,1306,294.5,3.2846
3140,1286,294.792,3.0843
3160,1266,294.927,2.92921
3180,1246,294.867,2.75997
3200,1226,294.991,2.94037
3220,1206,284.329,2.4403
3240,1186,284.516,2.47529
3260,1166,284.869,2.41545
